Letter,Sound Vibe,Breath Effect,Location,How To
A,Deep 'Ahhh',Deep oxygenation & expansion,Fills entire torso from belly to shoulders,Inhale deeply through the nose while silently sounding Ahhh in your mind. Let the breath fill your torso from the bottom up. Exhale slowly through the mouth.
B,Soft 'Buh',Creates balance & stability,Broadly into the belly,"Place one hand on your belly. Inhale gently through the nose, letting only the belly rise. Exhale slowly and feel the belly fall."
C,Calm 'Ccc',Circulates calm energy,Expands sideways into the chest and ribs,"Inhale slowly for 4 counts, feeling the chest expand sideways. Exhale for 4 counts with a quiet Ccc sound on the lips."
D,Diaphragmatic 'Duh',Deep grounding draw,Draws deeply downward into the diaphragm,Place both hands on your lower belly. Inhale through the nose and press your hands outward as the diaphragm drops. Exhale slowly.
E,Extended 'Ehhh',Releases & empties tension,Empties the lungs completely on a full exhale,Inhale for 4 counts. Exhale slowly for 8 counts with a quiet Ehhh sound. Squeeze every last bit of air out.
F,Full 'Fff',Floods with fresh energy,Floods the entire frame from core to fingertips,Take a full deep inhale from belly to chest. Exhale completely with a Fff sound through the teeth. Let the next inhale flood in naturally.
G,Gentle 'Guh',Grounds and gathers energy,Gathers throughout the body toward the center,"Inhale slowly through the nose with a gentle Guh sensation. Feel the breath collect at your center. Exhale fully, feeling grounded."
H,'Hmm' (humming),Deep pull & vibration,Deep pull into the core with skull resonance,Close your lips and inhale through the nose. Exhale with a steady Hmm hum. Feel the vibration spread through your chest and skull.
I,Inward 'Eee',Invigorates inner awareness,Concentrates inward into the inner core,Inhale sharply through the nose with a bright Eee sensation pulling inward. Hold for 2 counts. Exhale slowly.
J,Joyful 'Juh',Playful energy boost,Pulses lightly through the chest and upper body,"Inhale playfully through the mouth with a bouncy Juh feeling. Exhale with a quiet smile, releasing any stiffness."
K,Kinetic 'Kah',Keeps energy flowing,Kicks oxygen dynamically through the mid-body,"Inhale quickly and powerfully through the nose. Hold briefly at the top. Exhale forcefully, keeping energy moving."
L,Long 'Lll',Lifts life force,Loads long and upward into the lungs,Inhale slowly and fully with a long Lll sensation. Feel the lift from belly to crown. Exhale gently.
M,Mindful 'Mmm',Merges with calm focus,Measured and even throughout the lungs,Close your eyes and inhale mindfully through the nose. Exhale with a soft Mmm hum. Stay present with each breath.
N,Nasal 'Nnn',Nurtures present-moment calm,Nourishes through the nasal passages and sinuses,"Seal your lips and breathe only through the nose with a gentle Nnn awareness. Exhale the same way, slow and nourishing."
O,Open 'Ohh',Opens overall awareness,Opens the entire chest and expands awareness outward,"Open your mouth slightly in an O shape. Inhale with an Ohh sense of opening. Exhale gently, maintaining openness."
P,Powerful 'Puh',Provides pure presence,Powerful draw into the full chest cavity,"Inhale powerfully through the nose with a strong Puh drive. Exhale firmly, maintaining power all the way out."
Q,Quiet 'Qwh',Quiets the mind,Quiets and stills the whole chest cavity,Inhale so gently you can barely hear yourself. Make the breath as silent as possible. Exhale with equal quiet.
R,Rhythmic 'Rrr',Relaxes the body,Rises rhythmically through the ribs,Inhale through the nose to a steady count. Exhale at the same count. Keep the Rrr sensation rolling through the ribs like a wave.
S,Slow 'Sss',Soothes the nervous system,Streams slow and steady through the full body,Inhale slowly through the nose. Exhale with a long steady Sss sound through slightly parted lips.
T,Torso 'Tuh',Total intake & centering,Fills the torso with a gentle lateral twist,Inhale into the full torso. Gently twist to one side at the top. Exhale and return to center. Alternate sides each breath.
U,Upward 'Uhh',Uplifts energy,Upward undulations from the core toward the crown,"Inhale and feel the breath rise upward. Exhale slowly from top to bottom, letting it undulate downward like a wave."
V,Vibrant 'Vvv',Vitalizes the whole self,Vibrates through the chest as a resonant column,Inhale fully. Exhale with a strong buzzing Vvv vibration on the lips and teeth. Keep the buzz steady until empty.
W,Wide 'Wwh',Welcomes fresh wind,Widens across the back body and ribcage,"Inhale wide, feeling the ribs expand outward like wings. Exhale with a Wwh breath, feeling the back body open."
X,eXhaling 'Xss',Extends deep relaxation,Extends from the lower lungs on a long emptying exhale,Inhale gently. Exhale for as long as possible with a quiet Xss sound. Then allow a natural rebound inhale.
Y,Yawning 'Yah',Youthful release & renewal,Yields to full airflow from throat to belly,Open wide and inhale with a big Yah yawn. Let the release be full and uninhibited. Exhale with a sigh.
Z,Zen 'Zzz',Zones into calm focus,Zeroes in with gentle vibration through the whole body,Inhale slowly. Exhale with a deep low Zzz drone. Let the vibration deepen with each breath until the whole body feels still.
