Letter,Description,Cue,How To
A,Fill whole torso area,"mouth wide open, full-body expansion","Stand or sit tall. Inhale through the nose, expanding belly, ribs, and chest in one smooth wave. Hold briefly, then exhale fully from top to bottom."
B,"Adds extra volume that stays put, almost pressurized",lip stop + buzz,"Inhale through pursed lips with a subtle buzzing sensation. Hold at the top, feel the breath lock in place. Exhale slowly, keeping the pressure steady."
C,"Fans oxygen outward to sides, backs, ribs; diffuse spread",soft hiss,"Inhale through the nose. Exhale with a long soft Sss hiss, imagining the breath fanning out sideways into the ribs and back like a spreading mist."
D,Drives breath straight down into lower belly / pelvic floor; directed plunge,tongue top behind teeth,"Touch your lower belly. Press your tongue to the top of the mouth and inhale, driving breath all the way down to your pelvic floor. Exhale gently."
E,"Pins oxygen into the upper ribs and chest walls; sharp, tight squeeze",ribs lifted,"Lift the ribs up and out before inhaling. Breathe into that lifted space, pinning breath into the upper chest walls. Exhale while keeping ribs lifted."
F,Shoots a focused stream into the front of the lungs,"lip-teeth fricative, gentle jet","Part your teeth and lips slightly. Inhale through that narrow gap, sending a focused jet stream into the front of the lungs. Exhale gently."
G,Locks breath at the base of the throat then drops it lower,"throat anchor, gulp","Swallow lightly to anchor the throat. Then inhale, feel the breath drop from that anchor straight down into the belly. Exhale from belly back up."
H,"Soft, full-body mist; pure breath; invisible wave","barely-there breath, silent and weightless","Breathe so softly the breath feels like mist. No sound, no force. Imagine breathing in cloud. Let each breath be purer and lighter than the last."
I,Concentrates oxygen into a single bright spot in the solar plexus,"tight, laser focus",Tighten your core slightly. Inhale with laser-like focus into one spot just above the navel. Feel oxygen concentrate there. Exhale slowly from that spot.
J,Gentle swirl; starts a clockwise spiral from belly outward,"soft, like zh",Inhale through the nose with a soft zh sound. Imagine the breath swirling clockwise from your belly outward in expanding rings. Exhale gently.
K,Pushes a quick powerful burst into the mid-back,"hard stop in throat, explosive burst","Build pressure at the back of the throat. Release with a hard stop, an explosive burst, directing breath into the mid-back. Exhale fully."
L,Pulls oxygen laterally across the entire ribcage,"tongue to palate, side-to-side sweep","Place hands on either side of your ribcage. Press the tongue to the palate and inhale, feeling breath sweep laterally across the ribs. Exhale."
M,"Floods the entire face, head, sinuses, then sinks into lungs","lip hum, stronger than hmm, full-face resonance","Inhale through the nose. Exhale with a strong Mmm hum. Feel it flood your face and sinuses first, then sink down into the lungs."
N,Opens a vertical highway from third eye down through sternum,"nasal, forehead-to-chest channel",Breathe only through the nose. Imagine a vertical channel from forehead to sternum. Inhale along this highway top to bottom. Exhale upward.
O,Forms a perfect round container in the belly that holds extra deep,"round, circular container","Round your belly like a bowl before inhaling. Breathe into that circular space and feel a perfect container form. Hold briefly, then exhale."
P,Light static refill at the very top of the lungs,"lip pop, quick top-up, like a cherry on top","Take a normal inhale. At the very top, add a quick lip-pop burst of extra air into the uppermost part of the lungs. Exhale fully."
Q,Twists the breath downward in a spiral (deeper than J),"corkscrew combo, twist","Inhale through the nose. Exhale with a twisting corkscrew feeling downward, deeper and tighter than a simple spiral. Imagine a drill descending."
R,Sends oxygen rolling down the spine like a slow waterfall,"tongue roll, spine waterfall","Roll your tongue if possible and inhale through it. As you exhale, imagine a slow waterfall of breath rolling down the spine from neck to tailbone."
S,Turns the spread from C into a thousand tiny threads reaching everywhere,"micro-spread, long hiss","Inhale through the nose. Exhale with a very long fine Sss hiss, imagining the breath splitting into thousands of tiny threads reaching everywhere."
T,Delivers a pinpoint hit exactly where you aim it,"tongue stop, precision tap","Pick a spot in your body. Inhale. On the exhale, tap the tongue to the roof of the mouth and feel a pinpoint of breath hit exactly that target."
U,Creates a long vertical tube from throat all the way to pelvis,"like Moon, deep tube",Imagine a long tube from throat to pelvis. Inhale and feel the tube fill from top to bottom. Exhale slowly from bottom to top along the same tube.
V,Buzzes a steady column right through the center of the torso,"lip-teeth buzz, vibrating column","Part the lips to teeth. Exhale with a steady Vvv buzz, feeling vibration form a column through the center of the torso. Inhale gently, repeat."
W,Opens the entire back body like a giant hug from behind,"lip purse, wide embrace, who","Purse the lips into a wide who shape. Inhale, feeling the entire back body open like arms spreading wide. Exhale, maintaining that open embrace."
X,Splits oxygen into an X-shape; diagonal lines crossing at the heart,"KSA combo, cross pattern","Cross your hands on your chest. Inhale. On the exhale, imagine the breath splitting into diagonal lines crossing at the heart, forming an X."
Y,Pulls oxygen straight up the spine and out the crown,"energizing, upward lift, bee with glide","Inhale through the nose. Exhale with a gliding Y sound, feeling breath pull straight up the spine and exit through the crown of the head."
Z,Creates a low-frequency vibration that fills literally every cell,"buzzing, whole-body drone","Inhale slowly. Exhale with a low sustained buzzing drone. Feel it vibrate in the chest, belly, and limbs. Let the frequency deepen with each breath."
